date,code,open,high,low,close,volume,amount
2016-05-19,sh.601398,4.23,4.26,4.22,4.24,52750006,223875779.0
2016-05-20,sh.601398,4.24,4.26,4.24,4.25,43407775,184533482.0
2016-05-23,sh.601398,4.26,4.28,4.25,4.26,43113503,183896312.0
2016-05-24,sh.601398,4.27,4.27,4.24,4.26,48488885,206353082.0
2016-05-25,sh.601398,4.27,4.28,4.26,4.26,24523733,104636913.0
2016-05-26,sh.601398,4.26,4.28,4.26,4.28,44247309,189094755.0
2016-05-27,sh.601398,4.27,4.29,4.26,4.29,32224893,137788562.0
2016-05-30,sh.601398,4.29,4.31,4.27,4.3,84516663,362512640.0
2016-05-31,sh.601398,4.29,4.37,4.29,4.36,104740402,454777904.0
2016-06-01,sh.601398,4.36,4.36,4.32,4.34,63441751,275364944.0
2016-06-02,sh.601398,4.34,4.35,4.33,4.34,29648778,128753309.0
2016-06-03,sh.601398,4.35,4.37,4.32,4.37,48206398,209444067.0
2016-06-06,sh.601398,4.36,4.39,4.35,4.38,59276484,258951633.0
2016-06-07,sh.601398,4.38,4.42,4.37,4.4,58853493,258882505.0
2016-06-08,sh.601398,4.41,4.41,4.36,4.39,57889772,254256447.0
2016-06-13,sh.601398,4.37,4.4,4.36,4.37,66550532,291645424.0
2016-06-14,sh.601398,4.35,4.42,4.35,4.4,69583009,306345712.0
2016-06-15,sh.601398,4.39,4.41,4.37,4.39,64010809,280556208.0
2016-06-16,sh.601398,4.37,4.38,4.35,4.37,39889730,174160816.0
2016-06-17,sh.601398,4.37,4.4,4.36,4.37,37494345,164418728.0
2016-06-20,sh.601398,4.39,4.4,4.37,4.39,36431977,160008927.0
2016-06-21,sh.601398,4.4,4.41,4.38,4.41,35358922,155559528.0
2016-06-22,sh.601398,4.4,4.46,4.39,4.44,56411629,250457516.0
2016-06-23,sh.601398,4.44,4.46,4.43,4.44,25477847,113215027.0
2016-06-24,sh.601398,4.44,4.46,4.36,4.4,44452637,196323322.0
2016-06-27,sh.601398,4.39,4.42,4.39,4.42,31933930,140606432.0
2016-06-28,sh.601398,4.41,4.43,4.36,4.42,64395143,282442800.0
2016-06-29,sh.601398,4.41,4.43,4.39,4.42,53792231,236875608.0
2016-06-30,sh.601398,4.42,4.45,4.4,4.44,44120661,195605551.0
2016-07-01,sh.601398,4.45,4.49,4.44,4.47,53452780,239064522.0
2016-07-04,sh.601398,4.47,4.55,4.47,4.54,64872069,293563168.0
2016-07-05,sh.601398,4.54,4.57,4.51,4.55,67474926,306304672.0
2016-07-06,sh.601398,4.54,4.56,4.49,4.56,67726987,307025856.0
2016-07-07,sh.601398,4.55,4.6,4.53,4.59,111989706,512053952.0
2016-07-08,sh.601398,4.35,4.35,4.27,4.29,115400788,496377392.0
2016-07-11,sh.601398,4.28,4.31,4.26,4.27,75103755,322028864.0
2016-07-12,sh.601398,4.27,4.35,4.26,4.34,141273663,608650304.0
2016-07-13,sh.601398,4.33,4.37,4.3,4.35,136168870,591082768.0
2016-07-14,sh.601398,4.35,4.35,4.3,4.31,57044041,246123637.0
2016-07-15,sh.601398,4.31,4.33,4.3,4.32,55305234,238627366.0
