date,code,open,high,low,close,volume,amount,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff
2002-04-04,sh.600519,36.97,37.6,36.51,37.58,516143,19068025.0,38.2535,37.89452844103959,47.15527718129281,-0.12394970258986149,0.0767559256152797,-0.2007056282051412
2002-04-05,sh.600519,37.78,37.94,37.1,37.28,304685,11402145.0,38.136,37.83600192284534,44.6251771025627,-0.1533233693544105,0.03074006662134167,-0.18406343597575214
2002-04-08,sh.600519,37.3,37.4,36.95,37.0,230046,8539346.0,38.0135,37.75638269209817,42.34169756649354,-0.19692583340806635,-0.014793113384539935,-0.18213272002352643
2002-04-09,sh.600519,37.0,37.5,36.88,37.43,329157,12257478.0,37.96,37.725298626184056,46.84046413678039,-0.19454114475029627,-0.050742719657691206,-0.14379842509260507
2002-04-10,sh.600519,37.43,37.77,37.2,37.48,342383,12828309.0,37.922,37.70193685226177,47.35483496599019,-0.1864672018446285,-0.07788761609507866,-0.10857958574954985
2002-04-11,sh.600519,37.49,37.88,37.41,37.49,679799,25576043.0,37.8655,37.681752390141604,47.46432237237317,-0.17721875994595138,-0.09775384486525321,-0.07946491508069817
2002-04-12,sh.600519,37.62,38.22,37.52,38.0,451928,17168808.0,37.8695,37.7120616863186,52.85002091213047,-0.12726948199176746,-0.10365697229055607,-0.023612509701211398
2002-04-15,sh.600519,38.46,38.5,37.6,37.89,292594,11085699.0,37.864,37.729008192383496,51.62082851534369,-0.09545999662034887,-0.10201757715651463,0.006557580536165758
2002-04-16,sh.600519,37.88,38.3,37.88,38.26,603615,23013458.0,37.8395,37.77957884072792,55.380046720705785,-0.039934502421999696,-0.08960096220961165,0.04966645978761196
2002-04-17,sh.600519,38.5,38.5,36.85,36.98,1321928,48993045.0,37.739999999999995,37.70342847494431,42.947281857721144,-0.09808479041562634,-0.0912977278508146,-0.006787062564811749
2002-04-18,sh.600519,37.0,37.19,36.38,36.39,853815,31299469.0,37.6135,37.57834004875914,38.64111568572177,-0.1895918845369522,-0.11095655918804212,-0.07863532534891007
2002-04-19,sh.600519,36.39,36.45,35.89,36.22,885432,31912486.0,37.497499999999995,37.448974329829696,37.47516482528848,-0.2726861390817277,-0.14330247516677924,-0.12938366391494843
2002-04-22,sh.600519,36.0,36.4,35.9,36.19,411365,14831735.0,37.368,37.32907201270306,37.261492706990374,-0.3370741033081899,-0.18205680079506137,-0.1550173025131285
2002-04-23,sh.600519,36.19,36.19,35.51,35.52,408822,14622595.0,37.233999999999995,37.15677944006467,32.76792330451545,-0.4371265071516177,-0.23307074206637263,-0.2040557650852451
2002-04-24,sh.600519,35.5,35.88,35.16,35.24,505088,17876338.0,37.091,36.97422901720137,31.081004560443333,-0.5328698263206633,-0.29303055891723073,-0.23983926740343253
